av,title,Up主,收藏数,是否收费,播放量,投稿时间,发布时间,弹幕数,评论数,标签
54682848,一拳超人第2季10集为什么停播，官方给出原因,中日韩三国鼎立,323,0,918126,1559787391,2019/6/6 10:16,714,1332,"一拳超人,一拳超人第2季,一击男,琦玉,埼玉"
55767038,爆肝30小时，埼玉vs杰诺斯，裸眼3D,Mad_Mind,32274,0,912619,1560665600,2019/6/16 14:13,1357,1263,"一拳超人,杰诺斯,裸眼3D,自制,埼玉,一击男"
55744605,漫威最惨英雄，经历过10多次死亡，却总能复活！,努力的Lorre,4104,0,909286,1560952292,2019/6/19 18:00,3053,1390,"X战警,X教授"
55779790,转生成为女人？主角的操作震撼我妈30年，这个让老外忍不住评论的高分作品真的太高能了【高能吐槽】,鲁过一世,22014,0,906282,1560674045,2019/6/16 16:34,5929,2878,"动漫杂谈,高能,新番,新番相关,漫评,新番推荐"
53665045,这是我配过最难揣摩的角色了【沙雕配音】,东野绝望凹,14375,0,884262,1558865541,2019/5/26 18:12,1424,1042,"巴啦啦小魔仙,扎心魔仙,占星魔仙,魔仙女王,摸仙女娃,配音,沙雕配音"
53496884,（一拳超人）埼玉VS饿狼终极形态！强大的执念。 ONE原作解说10,黑T毒物丶,1955,0,882971,1558733869,2019/5/25 5:37,1505,2205,"饿狼,一拳超人,琦玉老师,埼玉,热血,燃,一拳超人第二季,BGM"
53537025,风评被害！被营销号带歪的隐藏神作？你对它有多少了解呢【瓶说特摄】,瓶子君152,26849,0,882062,1558769912,2019/5/25 15:38,2602,3313,"奥特曼,童年,特摄,迪迦奥特曼,经典,新番,麦克斯奥特曼,动漫杂谈,瓶子君152,圆谷"
53505182,超作死！当着女友的面撩妹会怎么样？,M-菌,12814,0,876982,1558787594,2019/5/25 10:52,9859,971,"动漫杂谈,搞笑,青春猪头少年不会梦到兔女郎学姐,看个毛吧,配音"
54610133,只要长的可爱即使是变态你也喜欢吗？七月新番导视第一波,凉风Kaze,27954,0,854242,1560241220,2019/6/8 10:00,6764,1941,"动漫杂谈,新番咋了,新番导视,在地下城寻求邂逅是否搞错了什么？,某科学的一方通行,普通攻击是全体二连击，这样的妈妈你喜欢吗,只要长得可爱，即使是变态你也喜欢吗？,你遭难了吗？,平凡职业造就世界最强,七月新番"
56482675,小女孩才是真正的大地恶魔？！【进击的巨人读评论】,他她TV,3425,0,836112,1561216749,2019/6/22 23:19,2027,2259,"大地恶魔,始祖尤弥尔,初代始祖巨人,东洋人,巨人历史,小女孩,读评论,吉克"
54240175,用大量“动漫梗”打开派大星~第三期！,八嘎金,29162,0,819304,1559369704,2019/6/1 14:15,1845,861,"JOJO梗,海绵宝宝,派大星,雨女无瓜,你的名字,日和,柯南,神奇宝贝,小当家,巴啦啦"
56682416,[亿万级特效猫鼠大战] 全新观感 原创剧情 你绝对没有看过！【猫和老鼠手游】,小烧基,13429,0,814512,1561412648,2019/6/24 16:29,1703,469,"猫和老鼠手游创意大师,猫和老鼠,童年,自制,热血,特效向,汤姆,杰瑞"
54173736,抖音碰到B站完美融合在一起会怎样,小柒丶暖男,29288,0,802349,1560660012,2019/6/1 11:40,3172,2459,"抖音,剪辑,多素材,自制,综漫,B站,热血,抖B,What收的作业"
54592589,第一部网络视频长啥样？让你大开眼界的中国网络视频发展史#01,低调的帅爷,50253,0,769706,1560960936,2019/6/5 21:00,10150,2866,"中国,原创,科普,网络视频,发展史,UP主,bilibili,硬核向,历史,十周年,干杯十周年"
54927060,【新番介绍】七月新番该看什么？看了这个视频你就知道了！,瓶子君152,29687,0,769100,1560063656,2019/6/9 15:00,4192,1611,搞笑
56079503,柯南动画正式揭晓大BOSS！完结近在眼前？柯南主线剧情回顾|其五|BOSS揭晓篇,凉风Kaze,18373,0,741614,1560951039,2019/6/19 21:30,3704,5983,"酒厂,BOSS,名侦探柯南,柯南,童年,主线,动漫杂谈,凉风Kaze,乌丸莲耶,新兰吻戏"
54908220,（100%绝对踩点）这是b站最狂妄的猫,默白_SilentWhite,31381,0,728587,1560140725,2019/6/9 18:30,4603,1253,"猫和老鼠,自制,狂妄之人,洗脑,音乐,汤姆琴魔"
55673624,女翻译被敌军抓走殴打虐待，脖子上的伤口生满了蛆虫，最后竟然还要靠这个治疗《青年黑杰克》,你的小美吖,3422,0,719253,1560732175,2019/6/16 18:00,425,491,"动漫解说,励志,青年黑杰克,手冢治虫,间黑男,奇幻,日本动漫"
