出现时间,弹幕模式,字号,颜色,发送时间,弹幕池,发送者id,rowID,弹幕内容
00:00:28,1,25,16776960,Tue May 16 00:12:51 2017,0,55234921,3362442476,《千年之恋》
00:00:29,1,25,16777215,Sat Sep 24 16:04:29 2016,0,1970834a,2438540497,因陀罗好帅的
00:00:31,1,25,16777215,Wed Aug 16 21:23:04 2017,0,a9e01fad,3705998886,骨科大法好！
00:00:31,1,25,16777215,Wed Jul 13 22:10:30 2016,0,a9c9809d,2081574707,看到三生三世组就进来了
00:00:32,1,25,16777215,Fri Aug  4 21:43:13 2017,0,97c60e4,3650346070,不是三生三世嘛，怎么是千年之恋
00:00:32,1,25,16777215,Mon Jul 11 22:10:13 2016,0,2907a8ac,2071595677,FIR的千年之恋
00:00:32,1,25,16777215,Tue Feb 12 13:14:38 2019,0,9324b3c,11957071404072964,都好可爱
00:00:33,1,25,14811775,Sat Aug 12 12:55:32 2017,0,955db3c7,3684874864,粽子！
00:00:33,1,25,16777215,Sun Dec 24 16:22:18 2017,0,1dd01d1d,4057507554,突然发现三世，一世比一世落
00:00:33,5,25,16777215,Wed Nov 16 21:09:19 2016,0,f5df1dd7,2666854321,交封面不杀
00:00:34,1,25,16777215,Sun Jan  6 16:19:24 2019,0,2cbf5e94,10286839516102658,bgm千年之恋
00:00:34,1,25,16777215,Thu Feb 16 15:03:26 2017,0,d4e6e4f3,3010066432,想当年因陀罗还是个善良可爱的小孩子
00:00:35,1,25,16777215,Fri Jun 24 22:10:26 2016,0,79668c18,1993700837,粽子君每次出现都让我想笑o(*≧▽≦)ツ┏━┓
00:00:35,1,25,16777215,Tue Jun 21 18:06:05 2016,0,e663f8f7,1982360083,画质精良
00:00:36,1,25,16777215,Tue May  1 17:34:31 2018,0,897590cd,4503012140,题目中的三生三世指的不是歌，而是因陀罗和阿修罗的三次转世
00:00:39,1,25,16777215,Fri Oct 14 15:03:03 2016,0,5c1043ee,2551835583,因陀罗小时候比阿修罗可爱啊
00:00:40,1,25,15138834,Fri Feb 17 19:07:26 2017,0,99716bb7,3014628676,因陀罗当初想要获得力量是为了保护弟弟。。。。。
00:00:40,1,25,16777215,Sat Feb 24 15:33:10 2018,0,d29f76b6,4339009252,因陀罗因为粽子黑
00:00:40,1,25,16777215,Thu Jun 30 12:12:11 2016,0,a2da029f,2015164659,好听
00:00:40,5,25,16777215,Tue Jun 21 14:02:36 2016,0,afc8fb6c,1981773737,这里泪目
00:00:41,1,25,16777215,Sat Sep 24 16:04:29 2016,0,1970834a,2438541127,粽子
00:00:44,1,25,16777215,Fri Apr 26 20:16:28 2019,0,4defeb2,15277130123837444,本来就是三生三世
00:00:45,1,25,16777215,Tue Jun 28 15:03:59 2016,0,ffe1b6a5,2008413481,好看
00:00:45,4,25,15138834,Mon May 22 18:06:24 2017,0,2b661261,3391706049,竹林的灯火
00:00:46,1,25,16777215,Thu Oct  4 12:33:25 2018,0,edd7ed94,6021673320972288,因陀罗好温柔
00:00:46,5,25,16724991,Thu Sep 29 23:11:48 2016,0,29f3186a,2462090801,竹林的灯火
00:00:47,1,25,16776960,Mon May 15 22:10:04 2017,0,55234921,3361663360,飞儿乐团..（老年人一把泪啊
00:00:47,1,25,16777215,Mon Jul  3 16:04:33 2017,0,16ea7633,3516859117,盛世美颜因陀罗
00:00:47,1,25,16777215,Mon Jul 17 07:07:28 2017,0,f590c8c2,3568383119,红字好评
00:00:47,4,25,15138834,Mon May 22 18:06:26 2017,0,2b661261,3391707311,到过的沙漠
00:00:47,5,25,16724991,Thu Sep 29 23:11:48 2016,0,29f3186a,2462091599,岛国的沙漠
00:00:48,4,25,15138834,Mon May 22 18:06:26 2017,0,2b661261,3391708851,七色的国度
00:00:48,5,25,16777215,Tue Jun 21 14:02:36 2016,0,afc8fb6c,1981775751,想获得力量的初衷是为了保护你啊
00:00:49,1,25,16777215,Sun Jan 15 16:04:45 2017,0,24beb478,2850636215,弟弟，别哭了……
00:00:49,1,25,16777215,Tue Jun 21 07:07:34 2016,0,997678d1,1980803851,好棒
00:00:49,5,25,16724991,Thu Sep 29 23:11:49 2016,0,29f3186a,2462092897,七色的国度
00:00:50,1,25,16777215,Tue Oct  3 14:01:38 2017,0,df434bc4,3856284303,因陀罗小的时候真的好温柔
00:00:50,4,25,15138834,Mon May 22 18:06:27 2017,0,2b661261,3391710293,不断飘逸风中
00:00:50,5,25,16724991,Thu Sep 29 23:11:49 2016,0,29f3186a,2462094079,不断飘逸风中
00:00:52,1,25,16777215,Thu Aug 25 12:12:57 2016,0,382a19a,2325370883,因陀罗帅！
00:00:52,4,25,15138834,Mon May 22 18:06:28 2017,0,2b661261,3391714993,有一种神秘
00:00:53,1,25,16777215,Sat Dec 15 16:18:39 2018,0,f43a71f5,9290249307947008,停不下来了
00:00:53,1,25,16777215,Wed Jun  6 11:36:26 2018,0,c74e3f0a,584062837719042,bgm千年之恋
00:00:53,4,25,15138834,Mon May 22 18:06:27 2017,0,2b661261,3391716859,灰色的旋涡
00:00:53,5,25,16724991,Thu Sep 29 23:11:49 2016,0,29f3186a,2462094947,有一种神秘
00:00:54,4,25,15138834,Mon May 22 18:06:32 2017,0,2b661261,3391730897,将我卷入了迷雾中
00:00:54,5,25,16724991,Thu Sep 29 23:11:50 2016,0,29f3186a,2462095807,灰色的漩涡
00:00:55,5,25,16724991,Thu Sep 29 23:11:50 2016,0,29f3186a,2462096759,将我卷入了迷雾中
00:00:56,1,25,15138834,Sun May 21 13:01:47 2017,0,9808b111,3385465177,紫色字幕好评，但是……你能不能下去？
00:00:56,1,25,16777215,Fri Sep 23 21:09:39 2016,0,c4a9103d,2435860939,卧槽，我好喜欢他们的
00:00:56,1,25,16777215,Sat Feb  4 21:09:04 2017,0,b8a017ec,2953958762,超级心疼因陀罗
00:00:57,1,25,16777215,Mon Jun 24 19:11:54 2019,0,63b1de6,17947709946200064,因陀罗真的好好看
00:00:58,1,25,16777215,Fri Feb  3 17:05:20 2017,0,2cb2f9f3,2946089228,粽子怎么那么像帚神。。。。
00:00:58,1,25,16777215,Tue Jun 21 12:12:28 2016,0,dac3ee16,1981355437,ＱＷＱ
00:00:58,4,25,15138834,Mon May 22 18:06:32 2017,0,2b661261,3391731957,看不清的双手
00:00:59,1,25,0,Sat Feb 11 16:04:41 2017,0,2d7abfba,2990418448,莫名觉得黑绝好可爱
00:00:59,5,25,16724991,Thu Sep 29 23:11:50 2016,0,29f3186a,2462097497,看不清的双手
00:01:00,1,25,16777215,Sat Sep 24 16:04:30 2016,0,1970834a,2438542271,因陀罗好帅
00:01:01,1,25,16777215,Thu Feb 16 15:03:27 2017,0,d4e6e4f3,3010068506,原来宇智波炸毛体质来自因陀罗
00:01:01,4,25,15138834,Mon May 22 18:06:31 2017,0,2b661261,3391733595,一朵花传来
00:01:02,1,25,16777215,Sun Nov 12 11:28:59 2017,0,e400c207,3958655135,bgm：千年之恋
00:01:02,5,25,16724991,Thu Sep 29 23:11:51 2016,0,29f3186a,2462098321,一朵花传来
00:01:03,1,25,16777215,Sun Jan 15 16:04:46 2017,0,24beb478,2850638647,为何要反目成仇呢……
00:01:03,4,25,15138834,Mon May 22 18:06:33 2017,0,2b661261,3391734823,谁经过的温柔
00:01:04,5,25,16724991,Thu Sep 29 23:11:51 2016,0,29f3186a,2462098997,谁经过的温柔
00:01:07,4,25,15138834,Mon May 22 18:06:33 2017,0,2b661261,3391737285,穿越千年的伤痛
00:01:08,1,25,14811775,Thu Oct  6 02:02:25 2016,0,9417129b,2509616189,想获得力量的初衷是为了守护你啊
00:01:08,1,25,16777215,Fri Sep  2 13:01:58 2016,0,252d8ccf,2365247329,做的这么好   没有弹頻不正常
00:01:08,5,25,16724991,Thu Sep 29 23:11:51 2016,0,29f3186a,2462099975,穿越千年的伤痛
00:01:10,1,25,16777215,Wed Aug 16 21:23:42 2017,0,a9e01fad,3706002109,明明弟弟一直这么直球，哥哥咋就没GET到呢！
00:01:10,4,25,15138834,Mon May 22 18:06:34 2017,0,2b661261,3391738521,只为求一个结果
00:01:11,5,25,16724991,Thu Sep 29 23:11:52 2016,0,29f3186a,2462100977,只为求一个结果
00:01:12,1,25,16777215,Mon Nov  7 01:01:32 2016,0,13aa4cef,2639712411,写轮眼，我可是觉醒了近视眼的！
00:01:12,5,25,16777215,Wed Jun 22 12:12:46 2016,0,5d578085,1984759065,哇呀
00:01:13,4,25,15138834,Mon May 22 18:06:34 2017,0,2b661261,3391739835,你留下的轮廓
00:01:14,1,25,16777215,Sat Nov 12 12:12:12 2016,0,754074a5,2653746597,bgm好评
00:01:15,5,25,16724991,Thu Sep 29 23:11:52 2016,0,29f3186a,2462101997,你留下的轮廓
00:01:16,1,25,16777215,Fri Aug 11 14:48:32 2017,0,9f6e27b3,3680689132,修因谢谢
00:01:16,1,25,16777215,Tue Jul 12 14:02:28 2016,0,fbdf7638,2074328277,戳中心脏的伤痛！
00:01:17,1,25,16777215,Sat May 20 14:02:38 2017,0,b51a0833,3379656099,喔喔哦这个bgm！
